区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
玩世不恭旳媚笑,5.0,2015-01-23 21:31:26,去过N次了、这次是中午带着堂妹和她朋友一起去的、味道还是一样好、中午的鸭血比晚上的好、晚上的冻起来的、三个人另外单点了菜（三个比较能吃的）加上团购的总共吃了两百多、三百不到、经济实惠、服务很好、以后还会去的、
匿名用户,5.0,2015-02-25 09:49:14,口味还算不错，环境有点闷！总体还行！
stacy5,5.0,2015-02-23 22:49:16,很正宗的重庆火锅 能吃到家乡的味道不易
linda_ni1,5.0,2015-02-20 21:36:52,一直去的一家火锅店，很好吃，就是环境太接地气了
jacobe1982,5.0,2015-02-24 15:49:46,很好吃，我跟女儿两个人吃了好多，下次有空还去
Wdk543934459,5.0,2015-02-08 01:24:35,地方不是很大，味道还可以，调料味道都不错，饮料免费畅饮，就是没有水果，菜份量再多点就好了！
stacy5,5.0,2015-02-23 22:50:22,很不错的火锅 ，很正宗的重庆火锅
stacy5,5.0,2015-02-23 22:50:45,很不错的火锅 ，很正宗的重庆火锅
xuying0453,5.0,2015-02-17 15:32:43,这里我喜欢，尤其是七宝店，不过菜码没之前大了
乐呵宝贝,5.0,2015-03-15 13:30:20,很好吃的一家火锅店，团购的这次菜也都不错
匿名用户,5.0,2015-02-04 22:32:18,离开上海前请我表妹和他男盆友吃的，在七宝待了四年，这家是我的最爱，以后去上海一定会再去的。
elfranger,4.0,2015-03-21 00:02:46,量大  味道不错   人气很旺
CeceV5,4.0,2015-01-09 15:13:12,这家是经常来吃的馆子 团购很划算 只是每次两三个人来吃个套餐都会再加很多的羊肉卷之类的 基本还会加付比团购价更多的现金。。
闵晓琴00,5.0,2015-02-03 22:14:33,很一般的团购 量少 3个人都不够吃 这个价格吃小辉哥午市套餐也吃很好了，不会再购
匿名用户,3.0,2015-02-11 10:32:47,真心不咋滴，饮料兑水厉害！其他也一般般
隽隽Trevor,5.0,2015-02-09 19:51:39,我喜欢吃这家的火锅，很够味道，好香
AON421808531,4.0,2015-02-07 12:48:55,很拥挤，味道不错。在门口排队排了半个小时。
lianglvw,5.0,2014-12-02 14:57:22,总体来说很不错，还有免费的碳酸饮料，雪碧可乐之类的，味道也很好，但就是我不太能吃辣椒，四川火锅很油，吃多了有点不舒服 其他都好
匿名用户,4.0,2015-02-03 20:13:18,还不错，三个人吃的，又点了一些，环境一般，总体来说还可以
LsO339067175,5.0,2015-01-31 18:21:43,人很多口味不错很实惠，如果男的对估计不够吃
匿名用户,5.0,2015-02-07 17:07:38,记不得来几次了，除了第一次，后面每次来都排队，味道还是一如既往得好
fht海狸鼠,5.0,2015-01-31 17:42:44,味道很不错！下次还会来！呵呵金银馒头很不错
匿名用户,5.0,2015-02-09 09:18:58,很满意的一次团购 东西很好吃 朋友们很开心 性价比很好
JjA652054720,5.0,2015-02-03 16:37:55,还算可以，价格不是很贵，很公道
匿名用户,5.0,2015-01-30 15:43:02,还是那个味，隔断时间就想去吃吃，麻辣给力
匿名用户,4.0,2015-03-18 15:25:23,还行吧，感觉分量还是太少了，服务态度太差了！唉，还是支持美团的！
zj19810206,5.0,2015-01-28 12:59:41,麻辣锅好麻，味道很正宗，百吃不腻
美食行家,5.0,2015-01-24 00:31:55,不错，两个人吃非常棒！建议两个人吃，四个人有点捉襟见肘哦！
hif470269583,4.0,2015-01-24 12:41:36,口味很正宗，团购餐的分量比较可以，不过单独点就比较贵了
hif470269583,4.0,2015-01-24 12:38:09,口味不错，辣的够筋道，味道正宗，就是有时候需要排队
KB76,5.0,2015-01-28 21:11:44,，还不错，相对价格来说很实惠了
匿名用户,4.0,2015-01-21 17:35:57,没放花椒，辣味不够，分量一般，服务挺好，座位偏矮。但免预约团购给力！
匿名用户,5.0,2015-02-09 09:19:46,"味道正宗,饮料自助,粉条最好吃,比较给力"
lock2014,5.0,2015-01-25 20:09:35,味道很好 人也很多 排了好一会
匿名用户,5.0,2015-03-21 00:02:46,不错，挺好吃的，离家近，方便，喜欢吃。
_qqzdk1373863418,4.0,2015-01-21 10:26:15,三个人吃加了一点菜，总体还是不错的，比单点便宜很多。
匿名用户,3.0,2015-01-20 13:47:38,口味一般！…出门了都说是团购的。还找我收费，没理会直接走了
匿名用户,5.0,2015-01-17 16:16:22,非常正宗的一家重庆火锅店！特别好吃！肉类蔬菜类非常新鲜！值得信赖！
美丽的兰兰君,5.0,2015-01-23 10:37:02,好   就是菜少。 我们四个女生吃。。。
shuizaichangge,5.0,2015-01-22 16:56:02,这个可以有， 味道真心不错的，香香的～
whb739022910,5.0,2015-01-18 22:59:39,一如既往的好吃 跟朋友一起去的。大家都特别喜欢吃 以后还会去的
匿名用户,4.0,2015-01-05 18:31:40,这个套餐，应该是两人份的吧，分量不多，三个人一起去吃的，根本不够，又点了好几个菜，不过味道蛮好的，是四川的味道！
匿名用户,1.0,2014-12-21 19:53:39,因为团购，感觉被区别待遇了，先来的，名来的两桌都上了，问服务员，才想起来。两个人点的四人份，这四人份是按照幼儿园的量计算么，最搞好的是畅饮的酸梅汁具然算在团购价里，就是上当的感觉
匿名用户,5.0,2015-01-22 18:56:19,口味不错，环境也不错，饮料畅饮
暖了微笑凉旧梦,5.0,2015-01-21 08:41:59,还可以，两个人没够吃，又点了一些菜
莹莹的约定,4.0,2015-01-21 17:35:58,一如既往的好吃，就是吃后总是拉肚子
yamixu,5.0,2015-01-16 00:07:20,环境服务真的很一般，偏偏我就喜欢次他家的酱
icegb,1.0,2014-12-30 21:07:04,这个吧就是坑爹，我们三个胃口很小的人去吃另外又点了八十块钱才吃饱。商家故意把两人餐说成四人餐。
匿名用户,5.0,2014-12-11 12:48:08,服务不错！团购四人餐，三个人吃得饱饱的
匿名用户,4.0,2014-10-29 13:56:00,说是四人餐，两个人吃差不多。不过味道真的不错，麻辣鲜香，自助饮料畅饮。我们四个人又点了180 元的菜，菜品不错，吃得很饱，就是手打丸不是现做的，味道欠缺了点。环境一般，性价比还是蛮高的，希望一直有团购，以后火锅就在你家吃了。
lnE649603120,4.0,2015-01-12 00:50:11,味道相当不错 很正宗 值得去品尝
zj19810206,5.0,2015-01-10 20:04:39,今天带老婆儿子去吃了，他们觉得很好吃
