区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
六月翻天,4.0,2017-07-13 23:19:47,点的鸳鸯锅，因为不能吃辣就一直吃的清汤锅，湖南的小伙伴吃的那一半红红的锅哈哈结果说不辣但是太麻了，菜挺少的，最后走的时候才说蘸料要钱，五块钱一位。
匿名用户,2.0,2017-06-05 17:58:06,服务不太好了。价格还是挺贵的。门口停车比较麻烦！
宝贝老婆kk妈咪,5.0,2017-07-12 17:12:51,多年住七宝就喜欢吃他家的火锅，我四川朋友都说比较正宗
MgW820004586,2.0,2017-06-05 18:00:40,住七包所以也常去，都是很久之前吃的了，才来评价，还行吧！就是蘸料更新太慢，感觉不太新鲜了
uaL613212463,3.0,2017-06-20 12:23:00,不怎么样。态度也马马虎虎。环境也不见得怎样
匿名用户,4.0,2017-06-17 14:03:27,口味还是不错的，就是羊肉的份量真的少。
匿名用户,2.0,2017-06-10 18:13:58,感觉很一般没有什么特色，就是那个牛肉还行。。
llr321456,4.0,2017-03-18 18:33:58,火锅底料好，分量不是特别足，整体挺好的
_qq5vk1432103792,2.0,2017-02-17 10:25:52,点了六七个都吃不下去了，服务员很不好，好像是赶着我们走似的，当时都还在吃就问我们买单，心里很不舒服
TPD939010832,4.0,2017-03-06 11:19:56,还不错，挺实惠的。
flashczx,4.0,2017-02-16 18:12:31,吃到后半断，过辣了，把锅里的辣椒都夹出来都不行
HU434334,5.0,2017-01-30 12:23:37,味道还行！出品毛肚第一份好吃，第二份味道就变了
lzY827790337,5.0,2016-10-17 08:26:34,"味道很正宗啊，我们两个人吃了一百多点，挺实惠的，肩颈，做一次，看不出什么，只是感叹很舒服，很轻松[微笑]；
肩颈，做一个月，感觉会有些变化，人有精气神了[愉快]；
肩颈，做半年，别人会从你身上看到健康和，"
筱丶寶児,5.0,2017-01-19 13:33:49,不错！味道很好！很正宗的川味！在外地能吃到正宗的川味很不错！值得推荐
筱丶寶児,5.0,2017-01-19 13:29:50,很不错！上菜速度很快！服务也很好！是川味！还会再来！
zqA237794262,5.0,2016-10-06 01:19:46,姐妹们经常聚餐的地方，味道可以侯杨方：在中国，几乎每个城市，都有一条街，人山人海，全是游客，以老街的名号，以文艺的名义，千篇一律的卖着从义乌批发来的工艺品，卖着臭豆腐烤鱿鱼和奶茶，这条街在北京叫作南锣鼓巷，在上海叫田子坊，在杭州叫河坊街，在黄山叫屯溪老街，在南京叫夫子庙，在扬州叫东关街，在成都叫宽窄巷子，在厦门叫鼓浪屿，在武汉叫户部巷，在西安叫回民街，在重庆叫磁器口，在桂林那条街叫西街，在青岛叫劈柴院，在天津叫古文化街，在长沙叫火宫殿，在拉萨叫八角街，在丽江叫做丽江古城……
CDXHKP,3.0,2017-01-01 12:58:03,价格很贵，但是很一般
xde172792354,5.0,2016-11-24 22:25:10,这家火锅店非常好，值得推荐给大家，里面菜品种多，份量足，味道也不错，关键东西很新鲜！服务态度也很好！下次带朋友还会再去光顾的！
xuans361,5.0,2016-12-12 16:50:21,经常来吃，味道很好，环境还不错
NTM184682061,5.0,2016-11-29 19:55:57,菜色很齐全，味道也很好，下次还会再来。
NTM184682061,5.0,2016-11-29 19:57:05,环境不错，菜色也很新鲜，值得推荐。
xde172792354,5.0,2016-11-24 22:20:04,这家火锅店菜份量足，环境好，味道也不错，下次还会再次光顾的！
grk柳暗花明,3.0,2016-11-22 00:52:47,味道还可以，就是有点贵，两个人吃了200多
雾凇使者,5.0,2016-11-23 19:55:10,口味好才是真的好，好吃实惠，还会再去
MWw400207718,5.0,2016-11-24 01:08:11,就是东西太少吃不到东西，其他的都挺好的
grk柳暗花明,3.0,2016-11-22 00:53:43,还可以，价位有点贵，两个人吃了200多
雾凇使者,5.0,2016-11-23 19:54:31,口味好才是真的好，多次消费了。
ulO125205742,5.0,2016-11-22 10:54:13,好吃，菜也新鲜，卫生干净!服务热情!
LKH462113791,5.0,2016-11-12 14:26:13,味道不错，生意很好，服务热情，一个大写的赞
louise831126,5.0,2016-10-30 10:19:39,味道不错，就是量少了点，两个人吃还差不多
峰席天下,3.0,2016-10-20 19:30:49,觉得越来越一般了，不实惠味道也不如从前
Lvtu1984,5.0,2016-10-26 18:04:17,很好吃，又便宜，朋友很喜欢吃他家的
Lvtu1984,5.0,2016-10-26 18:05:05,很好吃，又便宜，环境很好，服务态度很好
rsT458759005,5.0,2016-10-19 16:27:24,好吃   特别喜欢吃辣椒的人一定要来
格式化2559,5.0,2016-10-14 18:53:12,不错，环境也挺好…味道也不错…
wenyd1,5.0,2016-10-15 19:06:41,都还可以。味道还不错。        第二次去
xz88157297,5.0,2016-10-04 10:05:20,味道有点辣，鸳鸯锅还是慎点，口味不错
私人教练a华,3.0,2016-08-23 11:48:06,FPTS从功能解剖出发，让教练真正意义上了解什么是功能，并且教会教练如何实践操作课程。从人体的六大基本功能，以及影响功能性训练的八大因素出发，设计出适合每种人群进阶、降阶的课程体系，让你真正意义上成为功能性训练的专家。
天才文君2.0,5.0,2016-10-08 11:02:29,火锅这附近也就这家让我觉得不错，妈妈也吃了不少！
Lvtu1984,5.0,2016-09-24 01:40:43,真心不错，在他家吃了好多次了，味道很棒，菜品很干净，服务态度很好
mdc925567609,5.0,2016-09-22 08:33:23,正宗的重庆火锅。味道真心好。下次还会去的
