区域,北京,餐饮类型,火锅,店铺id,298462,店铺名称,东来顺（世界公园店）,经度,116.290989,纬度,39.813989
用户,星级,评论
匿名用户,1.0,我真的是不想说   比我们后来的俩桌子都吃上了我的还没上菜   也没人管   难道这就是美团的差别对待？  就给我上一锅就完了？心情挺好的出来吃饭   完了给我放了一桌子上来还说拿错了？真的是   就冲着招牌来的   这还让人怎么再来
VnY153697706,4.0,豆浆贵
匿名用户,3.0,"菜品还可以，两人餐不浪费
【环境】"
小心朔朔,3.0,盘子大肉少，不够吃，不实惠，建议多点几份。 #精选小肥羊# #糖蒜#
小心朔朔,3.0,环境不错，方便，放心肉但量太少盘子巨大，不实惠
cIS246291331,5.0,真好，我们从世界公园出来去吃的，晚上快十点了，服务员一直等着
wTy922836964,2.0,肉质一般，没有以前吃过的味道好。
Dsl629807478,3.0,要的套餐很实惠了，但是单点贵的多 #精选羊上脑#
HFC74479720,4.0,"【口味】好  咸淡适中  新鲜干净
【环境】很好  舒适 
【服务】热情 周到 和蔼 满意
【等位】去的晚 没有等位"
刘佳莹792,1.0,第一次来这家店，在网上有团购就买了。结果来了以后上的肉很差，涮后肉都分离了，到底是什么肉不得而知。服务员态度亦很差劲，上菜声音很大，都快摔到桌子上了，爱答不理的，冷脸也不知道给谁看呢。旁边桌不是团购的的顾客结账可以过来服务，我们团购的就要自己去前台结账，差距也太大了吧。团购的就要享受差的肉菜和服务嘛！！！
Llp289820885,4.0,是美团2人套餐，味道好，服务好，就是量有些少，我们俩人又加了5个烧饼才吃饱
chz762777341,4.0, #烧饼#
ying77777777,3.0,个人口味较清淡，鸳鸯锅辣的只是微辣，麻酱比较咸，麻酱造型比较暖！服务态度一般！
风灬丶,4.0,还好吧吃的挺饱的
tFx757124010,1.0,"首先我说一下这个鸳鸯锅！清水和一点点辣椒油。看得我目瞪口呆。清汤锅真的是清水。辣锅就清水加辣僬，
【服务】付款那里态度也不好，我要发票emmmmm 没法说啦，人也很少，只有两桌。
不过后来加的西瓜汁还很好喝，48一扎。要另外收费。"
TGW655822937,5.0,三个大老爷们没吃完
XLI997225488,2.0,服务员太懈怠了，在大厅来回晃，服务态度太差！
匿名用户,2.0,没有肉味，鸳鸯锅汤不辣，放了两次调料
吃喝玩哈丿,5.0,美团上买的，也是用这么久美团第一次受到歧视。刚开始上餐具，筷子放桌子上了，是绿色包装的，后来一个女的过来，把绿色包装的筷子，换成一次性的外卖筷子，我才知道，美团人，给的是左边抽屉的筷子，不用美团的，用的是绿色包装的筷子。如果区别对待就不要让我们美团人知道，中途把好的换成坏的，真的超级恶心。服务员的态度不用形容了，反正我是见识到了，和朋友吃到兴处正在聊天，还坐在座上没走呢，过来问我能不能收锅。一百多块钱的饭吃到这份上也是无敌了。难怪周末饭点人还少呢，不是没有道理的。
xJI494729004,3.0,虽然是团购价，但是并不是特别便宜，性价比并不高
Qve887107700,4.0,整体还不错，团的六人餐，菜量刚刚好。。
YDi636853971,4.0,下次有机会还回来的，真的不错味道也好
LeU949229964,3.0,"菜品多，三人没吃完，实惠到家
【环境】 #白百叶# #烧饼# #海带丝#"
Lmz734006225,5.0,好吃好吃。那个芝麻烧好吃，菜品足够两个人吃了，味道也挺不错的。点个赞，东来顺常客
蔡长伟loveKK,3.0,菜品口味不错，大厅有人吸烟，服务人员不管，这一点很不满意
QLF917974420,4.0,团购是真的实惠，218五盘肉，还有小点心味道也不错
匿名用户,5.0,非常好吃，有特色！分量也很足！
独舞风云,3.0,還不錯  位置可以  適合朋友聚餐  挺好
匿名用户,2.0,上菜速度挺快，服务也还行，就是118套餐里的羊肉太差劲，太肥了，肥瘦各一半感受一下，吃完一盘肉，挑出半盘子肥的，肥牛也一般，套餐带的蔬菜篮基本没什么可吃的，而且特别小，哎
A简单531,1.0,服务员态度太差，别的凑合吧！！！！！
Jsv531046666,1.0,四人餐老板怕我们三个小伙子不够吃特意送了只苍蝇还有跟头发 棒棒的   有史以来第一个差评 献给你
腾运毛毡,2.0,真心的，一般般，去就是图个名字好听
ItA161467933,1.0,收银大姐态度不好。吃个饭还要受气。
GaM192754970,2.0,就是个大品牌，服务态度太差了，不敢恭维
匿名用户,1.0,不好吃，一点也不辣，辣椒油还另外给钱，，筷子也是一次性的，感觉很没有档次，要了一个鸳鸯锅，辣的不辣，不辣的就跟水一样，一点味也没有，真是原生态啊，再也不想去那吃了。
ScD565304844,2.0,118的双人餐，肉给了三盘还是挺多的，就是那个菜跟豆腐一看就是冰箱里面放了很久了，闻着有股味
期待那一句话,1.0,越来越坑吧  但是服务员很厉害  菜理有蚊子都能开出来是新落的
Pfh779964732,2.0,服务还不错，果汁真心坑，58哈密瓜汁，48西瓜汁，这个季节真心不便宜，团的还是不错的，3个人够吃，料稍有点咸，其它还行吧
yanghailong168,3.0,菜品不错，两个人吃刚好！！！！！！
憨憨阿ll,4.0,卡哇伊酱料，味道还可以，来北京旅游就近吃的，涮肉不错～
wbf665093122,3.0,味道好，麻将特别好吃，菜也卫生干净
jHQ782668214,3.0,口味不错 👍配的馅饼味道很好👍
xyk283441677,4.0,可以
匿名用户,3.0,肉的分量很足，但味道一般，不好吃
王振中481,5.0,好好 大铜锅 很赞 性价比高
从歆,5.0,实惠味道好，三个人吃不了四人餐。就是服务不是很热情！
m家小萱萱,4.0,味道很好，小料也很好吃，服务也不错。
JUSTADREAM..,3.0,一般一般一般般，价格不错，服务不行
匿名用户,5.0,回头客啦！价格实惠，份量十足👍👍 #肥牛# #涮羊肉# #烧饼# #传统火锅# #羊肉# #羊羔肉# #烤羊肉串# #上脑牛肉# #蔬菜大拼盘#
梦想6349,5.0,超级实惠，三个人都吃不完，离我家很近，下次还会去
匿名用户,3.0,味道还不错，我挺喜欢，但老婆孩子不太喜欢，
Cwn437843402,4.0,羊肉味道自然很棒！而且五个人基本够吃了！很划算！
