区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
bHv958193994,5,服务员给烤肉，很贴心，肉很新鲜烤的很好吃，小菜不限量，挺棒的。,,,,,,,,,
bHv958193994,5,两个人吃的饱饱的，不错，非常棒，服务赞赞赞，。。。,,,,,,,,,
qwe75611372,5,鲜五花，土豆泥，很好吃！服务态度好，以后常来哦,,,,,,,,,
bHv958193994,5,很认可这了的服务，经常来，生意越来越好了，来晚了还得排队。,,,,,,,,,
bHv958193994,5,辣白菜很是美味，我的最爱，服务小哥很帅啦,,,,,,,,,
bHv958193994,5,很喜欢他家的口味，服务员很耐心周到，很满意。,,,,,,,,,
bHv958193994,5,好吃，味道不错，都挺好。强烈推荐,,,,,,,,,
bHv958193994,5,去吃好几次了，态度很好，吃的很舒服,,,,,,,,,
bHv958193994,5,非常好吃，经济实惠，团购超值，支持支持,,,,,,,,,
bHv958193994,5,服务态度好，，还会再来！烤肉很不错,,,,,,,,,
bHv958193994,5,超值套餐，很划算，冲着服务来也值了。,,,,,,,,,
qwe75611372,5,服务态度好，套餐超值   南瓜粥好喝   土豆泥,,,,,,,,,
bHv958193994,5,很多优惠，还送小菜，南瓜粥，烤肉棒棒的,,,,,,,,,
bHv958193994,5,服务是真的好，小菜无限续，大爱南瓜粥也可以续加，来过很多次了。,,,,,,,,,
bHv958193994,5,南瓜粥好喝，环境舒服，大哥服务很好。,,,,,,,,,
bHv958193994,5,非常好，常去的一家，吃不够，服务好，菜品新鲜，环境干净舒服。,,,,,,,,,
bHv958193994,5,一个月来好几次，服务给赞，五花给赞，就喜欢烤肉,,,,,,,,,
kaixinshui,4,非常满意，吃了好几次了。服务特别好,,,,,,,,,
bHv958193994,5,一家人都喜欢来这里，离家很近，服务很好很热情，服务员都很熟了都好。,,,,,,,,,
bHv958193994,5,位置好，服务好，菜品好，价格好，老顾客了常来的,,,,,,,,,
bHv958193994,5,口味很好，东西很多，态度特别好,,,,,,,,,
bHv958193994,5,服务好。 肉很新鲜。 小菜超赞,,,,,,,,,
bHv958193994,5,服务周到，东西好吃，特别火特别火,,,,,,,,,
bHv958193994,5,很棒的烤肉，很棒的服务，很干净的环境。,,,,,,,,,
唐雪冰bang,5,一如既往的好，只要吃烤肉就想来这,,,,,,,,,
bHv958193994,5,比较合适，够三个人吃的，服务不错，推荐推荐！！！,,,,,,,,,
bHv958193994,5,烤肉不错，服务态度好，还会在来。,,,,,,,,,
bHv958193994,5,离公司挺进的，挺不错的，价格也合适,,,,,,,,,
bHv958193994,5,服务周到，菜品也很好吃，特别棒。,,,,,,,,,
bHv958193994,5,就在家楼下，好吃，服务态度很好，很实惠。,,,,,,,,,
bHv958193994,5,环境不错很干净，服务很棒，口味喜欢。,,,,,,,,,
